CATEGORY NAME                                                | ACTUAL URL
--------------------------------------------------------------------------------------------------------------------------------------------
Air Conditioners Fans > Air Conditioner Parts Accessories    | https://www.lowes.com/pl/air-conditioners-fans/air-conditioner-parts-accessories/4294821947
Air Conditioners Fans > Blower Fans                          | https://www.lowes.com/pl/air-conditioners-fans/blower-fans/2667787286
Air Conditioners Fans > Central Air Conditioners             | https://www.lowes.com/pl/air-conditioners-fans/central-air-conditioners/4294618087
Air Conditioners Fans > Evaporative Coolers                  | https://www.lowes.com/pl/air-conditioners-fans/evaporative-coolers/4294859078
Air Conditioners Fans > Portable Fans                        | https://www.lowes.com/pl/air-conditioners-fans/portable-fans/4294856700
Air Conditioners Fans > Room Air Conditioners > Portable Air Conditioners | https://www.lowes.com/pl/air-conditioners-fans/room-air-conditioners/portable-air-conditioners/2830525945
Air Conditioners Fans > Room Air Conditioners > Wall Air Conditioners | https://www.lowes.com/pl/air-conditioners-fans/room-air-conditioners/wall-air-conditioners/1614509524
Air Conditioners Fans > Room Air Conditioners > Window Air Conditioners | https://www.lowes.com/pl/air-conditioners-fans/room-air-conditioners/window-air-conditioners/3788568798
Air Conditioners Fans > Wall Mounted Fans                    | https://www.lowes.com/pl/air-conditioners-fans/wall-mounted-fans/255828126
Air Conditioners Fans > Whole House Fans                     | https://www.lowes.com/pl/air-conditioners-fans/whole-house-fans/4294512205
Air Filters Accessories > Air Filter Accessories             | https://www.lowes.com/pl/air-filters-accessories/air-filter-accessories/4238032680
Air Filters Accessories > Air Filters                        | https://www.lowes.com/pl/air-filters-accessories/air-filters/4294761659
Air Filters Accessories > Air Filters                        | https://www.lowes.com/pl/air-filters-accessories/air-filters/4294761659-4294559564-4294559562
Air Filters Accessories > Air Filters                        | https://www.lowes.com/pl/air-filters-accessories/air-filters/4294761659-4294564241-4012250160-721219528369-4294760401-4294760405-4294760435
Air Filters Accessories > Air Filters                        | https://www.lowes.com/pl/air-filters-accessories/air-filters/4294761659-4294760493-4294760441
Air Tools Compressors > Air Compressor Parts Hoses           | https://www.lowes.com/pl/air-tools-compressors/air-compressor-parts-hoses/816127281
Air Tools Compressors > Air Compressors                      | https://www.lowes.com/pl/air-tools-compressors/air-compressors/2911831268
Air Tools Compressors > Nailers > Pneumatic                  | https://www.lowes.com/pl/air-tools-compressors/nailers/pneumatic/1481902067-811437049662
Appliance Parts Accessories > Appliance Power Cords          | https://www.lowes.com/pl/appliance-parts-accessories/appliance-power-cords/4294524377
Appliance Parts Accessories > Cooktop Range Parts            | https://www.lowes.com/pl/appliance-parts-accessories/cooktop-range-parts/1006930184
Appliance Parts Accessories > Dishwasher Parts               | https://www.lowes.com/pl/appliance-parts-accessories/dishwasher-parts/554129471
